title,company,employment_type,job_level,category,salary_lower,salary_upper,salary_time_interval,roles,requirements
(101) Business Intelligence Project Manager,IT CONSULTANCY & SERVICES PTE LTD,"Permanent, Full Time","Senior Management, Middle Management, Manager",Information Technology,6500.0,8000.0,Monthly," Responsible for all aspects of project management from project initiation, implementation and execution of project; Drive the team to resolve all technical issues and risks Tracks and report project progress    Interested applicants may send in their detailed resumes, stating the current and expected salary as well as availability, in MS Word, using the below format to cess@itcspl.com and cc to hres@itcspl.com for immediate processing...   Pls. indicate Job Ref. (101) on your Job Application (Email Subject)    Technical Skills Summary Employment Details Educational Background  We regret that only shorlisted candidates will be notified.     EA No: 92C5311   EA Reg No R1104129     For more information about ITC, please click on www.itcspl.com"," Responsible for all aspects of project management from project initiation, implementation and execution of project; Drive the team to resolve all technical issues and risks Tracks and report project progress    Interested applicants may send in their detailed resumes, stating the current and expected salary as well as availability, in MS Word, using the below format to cess@itcspl.com and cc to hres@itcspl.com for immediate processing...   Pls. indicate Job Ref. (101) on your Job Application (Email Subject)    Technical Skills Summary Employment Details Educational Background  We regret that only shorlisted candidates will be notified.     EA No: 92C5311   EA Reg No R1104129     For more information about ITC, please click on www.itcspl.com"
Business Intelligence Analyst,YTL POWERSERAYA PTE. LIMITED,Full Time,Professional,Information Technology,4800.0,8000.0,Monthly,"A key member of the Application Management Services team within the Process & Innovation Group, you will be responsible for identifying areas for business intelligence process automation and efficiency improvement, as well as developing and maintaining proper records of management policies and processes.    You will provide business application analysis and data modelling design to collect, standardise, maintain, monitor and audit business data for effective centralized data warehouse. This entails developing and maintaining processes of automated data and using various business analytics reporting tools to create dashboards, graphs and visualization to meet both end users reporting needs and facilitate sharing of business intelligence between multiple data systems.  You will also work with internal and external stakeholders to identify, evaluate and implement services and tools to support data validation and cleansing.","A key member of the Application Management Services team within the Process & Innovation Group, you will be responsible for identifying areas for business intelligence process automation and efficiency improvement, as well as developing and maintaining proper records of management policies and processes.    You will provide business application analysis and data modelling design to collect, standardise, maintain, monitor and audit business data for effective centralized data warehouse. This entails developing and maintaining processes of automated data and using various business analytics reporting tools to create dashboards, graphs and visualization to meet both end users reporting needs and facilitate sharing of business intelligence between multiple data systems.  You will also work with internal and external stakeholders to identify, evaluate and implement services and tools to support data validation and cleansing."
Head (Data Architect),Accountant-General's Department,Full Time,,"Accounting / Auditing / Taxation, Public / Civil Service",,,,"Head (Data Architect)
To architect, design and administer the Whole-of-Government (WOG) enterprise data analytics platform (FI@Gov) for the public sector finance and internal audit community.
The key objective of the AGD-Business Analytics directorate is to transform the finance and audit processes through data analytics, and to drive a data-driven approach in decision making. This includes strengthening data analytics capabilities and competencies to strengthen governance, optimise resource management and drive productivity.
The key roles fulfilled by this job include to:

Administer the development and maintenance of the public sector finance data warehouse and data architecture. This includes developing and implementing best practices to ensure optimal data quality, integrity, governance and system performance.
Drive data integration, data modelling, analytics and reporting deliverables in collaboration with business analysts and technology partners.
Manage large scale development and deployment of big data infrastructure and platform;
Review and govern design principles to ensure quality and performant design of dashboards and tools on the Business Intelligence platform powered by Microstrategy.
Plan and implement the data strategy and technology roadmap for the WOG finance analytics platform. This includes monitoring emerging trends of data analytics technologies, including related technologies in the area of robotics and artificial intelligence, and propose the technology roadmap for adoption and application.
Manage the deployment of advanced analytics applications with data pipelines integrated with the overall enterprise grade system architecture and infrastructure.
Manage a team of data analyst and data scientist, overseeing related projects from end-to-end, including user requirement studies, prototyping, development, testing and deployment.
Ensure proper documentation of the data warehouse and analytics platform, including design architecture, data schema, operations management procedures and system functional specifications.

 
 
Requirement

Good degree from a recognised university in computer science, computer engineering, information technology, or a related field.
At least 10 years of experience on enterprise data solutions and architecture
Competency in Microstrategy architecture is strongly preferred
A good understanding of big data technologies, with at least 3 years of experience in Hadoop ecosystem
Ability to independently architect and maintain a hybrid data platform, integrating Hadoop with SQL data warehouse
A good understanding of business intelligence tools and data science techniques like machine learning and text mining, with competency in open-source scripting language (e.g. R, Python) is advantageous
Experience in vendor management and project management is preferred
Team player who can work well with stakeholders from different public agencies
Self-motivated to learn and keeps up to date with the latest analytical technologies in the industry
Confident communicator, with good writing and presentation skills

If you are shortlisted for the position, you should hear from us within 30 days of the closing date of the advertisement. ",
"VICE PRESIDENT, STRATEGIC PLANNING [MNC, Marine / Maritime Industry]",VANTAGE HR SOLUTIONS,"Permanent, Full Time","Senior Management, Middle Management","Risk Management, Banking and Finance, Engineering, General Management",,,,"Vantage HR Solutions (EA LICENSE NO 10C4871) is a professional executive search consultancy company registered under the Ministry of Manpower (MOM), Singapore. The keen eye we developed over the years enabled us to make accurate assessments about jobs and candidates. We distinguish ourselves through our direct working experience as industry-specific professionals from the industries that we serve. Hence, we have the trade know-how, professional network and track record to recruit the right talents for different business needs. Whether you are seeking the best talents for your organization or looking for a dream career - Vantage HR Solutions has the edge to meet your expectations.  Visit  http://vantage.com.sg/  to find out more about our services and other available positions.  Our client is from a leading multi-national corp. in the Marine industry. It has established itself as an Employer of Choice due to its' global branding, drive for innovation as well as its' emphasis on human capital development.   THE ROLE:    The incumbent will play a leadership role with full responsibility for the strategic planning, budgeting, forecasting and analytical activities. As a global employer that is experiencing rapid growth, they are looking for a senior-level hands-on leader who has seen best practices, particularly around managing long-term and annual strategic planning processes, leveraging enterprise planning systems and forecasting. The position includes developing and driving the long-term strategic planning processes, annual and quarterly budgets, financial forecasts and analyses, overseeing the development and delivery of management reporting environments, monitoring key performance indicators and driving companywide financial performance initiatives. A key aspect of the position will be to partner closely with the Company’s executive and senior management to drive business insight and companywide financial results, and to provide fact-based thought leadership on key strategic and financial decisions.      Key Responsibilities:  Working closely with the executive team and business units to develop long-term strategic plans, annual budgets and operational analysis and reporting; providing thought leadership in the creation department level key metric dashboards Leadership role in provide analytical perspectives to important strategic decisions, Leading company-wide strategic planning, budget and quarterly target-setting processes, including forecasts and key performance monitoring Leading the development, monitoring and reporting of key operational metrics and driving processes to improve consistent productivity and efficiency improvements Playing a leadership role in the area of business intelligence, trends, competitive environment and regulatory changes of the marine industry Identify, research and recommend new directions and opportunities for growth Guide and review business planning and optimization of resources across the business units Working with executive management to maintain 5-year long range plan that incorporates the financial impacts of Company strategies and initiatives Performing ad-hoc financial analysis to support key business decisions.      THE REWARDS: Short listed candidates can expect an attractive remuneration package in line with relevant experience and job knowledge, the opportunity to work for among the best in the industry and excellent prospects for personal development. Due to the size of the organization, global operations and diversity of business, this is an excellent place for horizontal and vertical career prohression and development.   OTHER INFORMATION:  Permanent Position New headcount due to expansion   ","Vantage HR Solutions (EA LICENSE NO 10C4871) is a professional executive search consultancy company registered under the Ministry of Manpower (MOM), Singapore. The keen eye we developed over the years enabled us to make accurate assessments about jobs and candidates. We distinguish ourselves through our direct working experience as industry-specific professionals from the industries that we serve. Hence, we have the trade know-how, professional network and track record to recruit the right talents for different business needs. Whether you are seeking the best talents for your organization or looking for a dream career - Vantage HR Solutions has the edge to meet your expectations.  Visit  http://vantage.com.sg/  to find out more about our services and other available positions.  Our client is from a leading multi-national corp. in the Marine industry. It has established itself as an Employer of Choice due to its' global branding, drive for innovation as well as its' emphasis on human capital development.   THE ROLE:    The incumbent will play a leadership role with full responsibility for the strategic planning, budgeting, forecasting and analytical activities. As a global employer that is experiencing rapid growth, they are looking for a senior-level hands-on leader who has seen best practices, particularly around managing long-term and annual strategic planning processes, leveraging enterprise planning systems and forecasting. The position includes developing and driving the long-term strategic planning processes, annual and quarterly budgets, financial forecasts and analyses, overseeing the development and delivery of management reporting environments, monitoring key performance indicators and driving companywide financial performance initiatives. A key aspect of the position will be to partner closely with the Company’s executive and senior management to drive business insight and companywide financial results, and to provide fact-based thought leadership on key strategic and financial decisions.      Key Responsibilities:  Working closely with the executive team and business units to develop long-term strategic plans, annual budgets and operational analysis and reporting; providing thought leadership in the creation department level key metric dashboards Leadership role in provide analytical perspectives to important strategic decisions, Leading company-wide strategic planning, budget and quarterly target-setting processes, including forecasts and key performance monitoring Leading the development, monitoring and reporting of key operational metrics and driving processes to improve consistent productivity and efficiency improvements Playing a leadership role in the area of business intelligence, trends, competitive environment and regulatory changes of the marine industry Identify, research and recommend new directions and opportunities for growth Guide and review business planning and optimization of resources across the business units Working with executive management to maintain 5-year long range plan that incorporates the financial impacts of Company strategies and initiatives Performing ad-hoc financial analysis to support key business decisions.      THE REWARDS: Short listed candidates can expect an attractive remuneration package in line with relevant experience and job knowledge, the opportunity to work for among the best in the industry and excellent prospects for personal development. Due to the size of the organization, global operations and diversity of business, this is an excellent place for horizontal and vertical career prohression and development.   OTHER INFORMATION:  Permanent Position New headcount due to expansion   "
"Head, Customer Success SEA & HK",Company Undisclosed,Full Time,"Senior Management, Middle Management",Advertising / Media ,9000.0,12000.0,Monthly,"About Our Client Our client is a data & Business intelligence platform providing key information from customers. Backed by key leading venture capitalists, they are creating a new Head of Customer success role to help them expand one of their key business. Job Description Reporting into the General manager SEA & HK, you will:  Deliver pre-sales presentations, product demonstrations, and create solutions for prospects and customers. Contribute to the development of the country sales plan, in conjunction with Regional & Global Leadership team. Revenue responsibility & account management for key accounts in the region. Support Sales team, providing strategies to pitch and close large opportunities. Build a deep understanding of the platform and products. Provide market feedback and requirements from SEA region to the product team and contribute to product improvements. Sharing learnings and best practices with teams across Australia, Europe and the US. ","About Our Client Our client is a data & Business intelligence platform providing key information from customers. Backed by key leading venture capitalists, they are creating a new Head of Customer success role to help them expand one of their key business. Job Description Reporting into the General manager SEA & HK, you will:  Deliver pre-sales presentations, product demonstrations, and create solutions for prospects and customers. Contribute to the development of the country sales plan, in conjunction with Regional & Global Leadership team. Revenue responsibility & account management for key accounts in the region. Support Sales team, providing strategies to pitch and close large opportunities. Build a deep understanding of the platform and products. Provide market feedback and requirements from SEA region to the product team and contribute to product improvements. Sharing learnings and best practices with teams across Australia, Europe and the US. "
"Lead / Senior Systems Analyst, BI Reporting & Analytics",M1 LIMITED,Full Time,"Executive, Senior Executive","Information Technology, Others, Telecommunications",3250.0,6500.0,Monthly," Support BI (Business Intelligence) and Campaign management reporting and analytics needs by working extensively with users across different departments Produce visually appealing BI reporting and analytics solutions Develop interactive dashboards that will enable business users to perform data exploration, gain customer insights and determine segmentation criteria for targeted campaigns Provide comprehensive tracking and reporting of all campaign activities and campaign results Responsible for end-to-end solution delivery - requirements gathering, conceptualization, design, development, testing, implementation and providing end-user training "," Support BI (Business Intelligence) and Campaign management reporting and analytics needs by working extensively with users across different departments Produce visually appealing BI reporting and analytics solutions Develop interactive dashboards that will enable business users to perform data exploration, gain customer insights and determine segmentation criteria for targeted campaigns Provide comprehensive tracking and reporting of all campaign activities and campaign results Responsible for end-to-end solution delivery - requirements gathering, conceptualization, design, development, testing, implementation and providing end-user training "
"Analyst, Compensation and People Sciences",AMAZON ASIA-PACIFIC RESOURCES PRIVATE LIMITED,Permanent,Professional,Human Resources ,7000.0,11000.0,Monthly,"Does the challenge and ownership that comes from providing data-driven support and challenging status quo excite you? Do you enjoy solving complex problems and delivering innovative solutions to a diverse business? Do you want to be on the forefront of design and development of compensation standards that determine the future of work? In this role, you’ll work closely with HR, Finance, and Compensation teams across the globe Successful candidates will have experience in large corporate environments and demonstrated ability to balance excellent analytical and technical skills while clearly driving communication and collaboration with other key players. As a member of the team, you will have the opportunity to leverage your passion for business intelligence and make a considerable impact through delivery of critical analyses. ","Does the challenge and ownership that comes from providing data-driven support and challenging status quo excite you? Do you enjoy solving complex problems and delivering innovative solutions to a diverse business? Do you want to be on the forefront of design and development of compensation standards that determine the future of work? In this role, you’ll work closely with HR, Finance, and Compensation teams across the globe Successful candidates will have experience in large corporate environments and demonstrated ability to balance excellent analytical and technical skills while clearly driving communication and collaboration with other key players. As a member of the team, you will have the opportunity to leverage your passion for business intelligence and make a considerable impact through delivery of critical analyses. "
Partner - Compensation and People Sciences,AMAZON ASIA-PACIFIC RESOURCES PRIVATE LIMITED,Permanent,Manager,Human Resources ,11000.0,15000.0,Monthly,"Does the challenge and ownership that comes from providing data-driven support and challenging status quo excite you? Do you enjoy solving complex problems and delivering innovative solutions to a diverse business? Do you want to be on the forefront of design and development of compensation standards that determine the future of work? In this role, you’ll work closely with HR, Finance, and Compensation teams across the globe Successful candidates will have experience in large corporate environments and demonstrated ability to balance excellent analytical and technical skills while clearly driving communication and collaboration with other key players. As a member of the team, you will have the opportunity to leverage your passion for business intelligence and make a considerable impact through delivery of critical analyses. ","Does the challenge and ownership that comes from providing data-driven support and challenging status quo excite you? Do you enjoy solving complex problems and delivering innovative solutions to a diverse business? Do you want to be on the forefront of design and development of compensation standards that determine the future of work? In this role, you’ll work closely with HR, Finance, and Compensation teams across the globe Successful candidates will have experience in large corporate environments and demonstrated ability to balance excellent analytical and technical skills while clearly driving communication and collaboration with other key players. As a member of the team, you will have the opportunity to leverage your passion for business intelligence and make a considerable impact through delivery of critical analyses. "
Business Process Analyst,Company Undisclosed,Full Time,Executive,Logistics / Supply Chain,2800.0,3500.0,Monthly,"Support the branch to identify and facilitate process improvements through improved efficiencies and quality of existing processes. Evaluate, analyze and prepare data to be and analyzed and develop insightful reporting enabling the company to make better decisions, strengthen customer service and increase profits. Continually strive to expand the utilization of our data, grow analysis techniques and broaden our application of data.  Support DBO to assist department and branch management in developing and implementing new customer and internal processes that positively impact operations and productivity Support DBO to analyze existing data and processes to identify opportunities for cost reduction and improved efficiencies. (Digital Transformation) Provide regular updates in the management meeting for deployment and project identified. Support DBO to work with Corporate and regional Global Business Operation teams to facilitate companywide improvement initiatives as they relate to the branch. Support DBO to monitor data and processes for continual process improvement. Closely measure and validate internal and customer related key performance indicators. Supporting responsibilities include (but not limit to): 	-Support the transition of new/updated processes -Support product improvement efforts -Support and facilitate branch Management Review Meetings -Any other additional tasks as required to meet the Department’s needs  Identify appropriate locations and query logic to extract data required for each project Analyze and determine the quality and integrity of all project data and communicate concerns Improve data where possible through logic and supplementation Completely document the source, quality and usage or all project datasets Ensure all project members fully understand the source and meaning of project data Develop insightful business intelligence solutions (reports, dashboards, summaries) required for each project Maintain proper back-ups and version control for all project code, reports and data Ensure all code, reports and dashboards are highly scalable, configurable and follow all coding guideline ","Support the branch to identify and facilitate process improvements through improved efficiencies and quality of existing processes. Evaluate, analyze and prepare data to be and analyzed and develop insightful reporting enabling the company to make better decisions, strengthen customer service and increase profits. Continually strive to expand the utilization of our data, grow analysis techniques and broaden our application of data.  Support DBO to assist department and branch management in developing and implementing new customer and internal processes that positively impact operations and productivity Support DBO to analyze existing data and processes to identify opportunities for cost reduction and improved efficiencies. (Digital Transformation) Provide regular updates in the management meeting for deployment and project identified. Support DBO to work with Corporate and regional Global Business Operation teams to facilitate companywide improvement initiatives as they relate to the branch. Support DBO to monitor data and processes for continual process improvement. Closely measure and validate internal and customer related key performance indicators. Supporting responsibilities include (but not limit to): 	-Support the transition of new/updated processes -Support product improvement efforts -Support and facilitate branch Management Review Meetings -Any other additional tasks as required to meet the Department’s needs  Identify appropriate locations and query logic to extract data required for each project Analyze and determine the quality and integrity of all project data and communicate concerns Improve data where possible through logic and supplementation Completely document the source, quality and usage or all project datasets Ensure all project members fully understand the source and meaning of project data Develop insightful business intelligence solutions (reports, dashboards, summaries) required for each project Maintain proper back-ups and version control for all project code, reports and data Ensure all code, reports and dashboards are highly scalable, configurable and follow all coding guideline "
International Business Analyst,SCHNEIDER ELECTRIC IT LOGISTICS ASIA PACIFIC PTE. LTD.,Permanent,Senior Executive,Consulting ,4500.0,8000.0,Monthly,"This position provides visibility to the business leaders of the IT Division on their business performance, to enable them to successfully execute defined initiatives through the provision of insightful & accurate business analytics, dashboards and track the deployment of initiatives over the International Ops Region*. The key internal customer of this position is the International Ops SVP, the zone and country business VP (BVP), as well as the VP driving strategic growth initiatives. The business analyst works hand in hands with the finance and Sales Operations community, at the Region and at the zones level.  Single point of Contact of the business analyst team to the Greater India, Asia and Pacific Operations Zones. Supports these defined zones on the use of business intelligence tools linked to bFO (Salesforce.com) and “Greenberry” business intelligence tool (inhouse development, Tableau based) Supports these defined zones Sales Operations teams in improving data quality of bFO, driving proper application of bFO “Golden Rules”. The business analyst would be the advocate for the adoption of pipeline management best practice by the defined zones, by supporting the use of Greenberry dashboard, and driving regular cadence and data cleansing; Supports the zones in preparing their business reviews for the pipeline management part; Has a critical contribution in predicting the end of quarter or end or year landing of the business. At IT Division International Ops level, the position provides ITD monthly business performances reports over its market segments, across all BU’s, for Datacenter and for Commercial & Industrial Governances. This position also assist other regions (particularly Europe) in generating their reports of this type. At IT Division International Ops level, manages the documentation and the performance tracking over the strategic initiatives: he coordinates the process to plan the initiatives and handshake their targets with the BVP’s, document the targets, coordinate the activity to publish the monthly performance dashboard. Supports the zones in preparing the strategic initiative score card for their business reviews.  * The Region encompasses the following zones: South America, Middle-East & Africa, Greater India, East Asia, Pacific, Japan.","This position provides visibility to the business leaders of the IT Division on their business performance, to enable them to successfully execute defined initiatives through the provision of insightful & accurate business analytics, dashboards and track the deployment of initiatives over the International Ops Region*. The key internal customer of this position is the International Ops SVP, the zone and country business VP (BVP), as well as the VP driving strategic growth initiatives. The business analyst works hand in hands with the finance and Sales Operations community, at the Region and at the zones level.  Single point of Contact of the business analyst team to the Greater India, Asia and Pacific Operations Zones. Supports these defined zones on the use of business intelligence tools linked to bFO (Salesforce.com) and “Greenberry” business intelligence tool (inhouse development, Tableau based) Supports these defined zones Sales Operations teams in improving data quality of bFO, driving proper application of bFO “Golden Rules”. The business analyst would be the advocate for the adoption of pipeline management best practice by the defined zones, by supporting the use of Greenberry dashboard, and driving regular cadence and data cleansing; Supports the zones in preparing their business reviews for the pipeline management part; Has a critical contribution in predicting the end of quarter or end or year landing of the business. At IT Division International Ops level, the position provides ITD monthly business performances reports over its market segments, across all BU’s, for Datacenter and for Commercial & Industrial Governances. This position also assist other regions (particularly Europe) in generating their reports of this type. At IT Division International Ops level, manages the documentation and the performance tracking over the strategic initiatives: he coordinates the process to plan the initiatives and handshake their targets with the BVP’s, document the targets, coordinate the activity to publish the monthly performance dashboard. Supports the zones in preparing the strategic initiative score card for their business reviews.  * The Region encompasses the following zones: South America, Middle-East & Africa, Greater India, East Asia, Pacific, Japan."
