title,company,employment_type,job_level,category,salary_lower,salary_upper,salary_time_interval,roles,requirements
Data Analyst (Financials),TALENT SPOT GROUP PRIVATE LTD.,Full Time,Executive,"Accounting / Auditing / Taxation, Consulting , Banking and Finance, Others, Professional Services",,,,"As a Data Analyst in Financials, the incumbent will have opportunities to learn about the many aspects of Exchange Traded Funds (ETFs) and Benchmark Indices, whilst also being involved in the client facing aspects of the work. He/She will be involved in but not limited to:  Develop reporting and synthesize insights data Support ongoing analysis of business performance trends and insights  Analyze and monitor news publications, funds characteristics, market movements / expectations etc Funds Analysis and real time processing / monitoring Work with internal data to analyse events in order to create an impact analysis within the ETF and indices Design and build dashboards to report on monthly movements of flows within ETFs Develop new ways to measure and estimate key metrics more accurately Other ad hoc duties as assigned ","As a Data Analyst in Financials, the incumbent will have opportunities to learn about the many aspects of Exchange Traded Funds (ETFs) and Benchmark Indices, whilst also being involved in the client facing aspects of the work. He/She will be involved in but not limited to:  Develop reporting and synthesize insights data Support ongoing analysis of business performance trends and insights  Analyze and monitor news publications, funds characteristics, market movements / expectations etc Funds Analysis and real time processing / monitoring Work with internal data to analyse events in order to create an impact analysis within the ETF and indices Design and build dashboards to report on monthly movements of flows within ETFs Develop new ways to measure and estimate key metrics more accurately Other ad hoc duties as assigned "
Senior Data Analyst,TANGSPAC CONSULTING PTE LTD,"Contract, Full Time",Senior Executive,Information Technology,7500.0,9000.0,Monthly,"Key Responsibilities  Regular data mining, transformation, visualization, analytics and reporting works Coordinate with various internal and external technology stakeholders across the different application domains, information security and infrastructure sectors to ensure smooth data-to-insights communication. Responsible for delivering, standardizing and automating data analytic reports, notifications and dashboards. ","Key Responsibilities  Regular data mining, transformation, visualization, analytics and reporting works Coordinate with various internal and external technology stakeholders across the different application domains, information security and infrastructure sectors to ensure smooth data-to-insights communication. Responsible for delivering, standardizing and automating data analytic reports, notifications and dashboards. "
Research Data Analyst,ML CONSULTING PTE LTD,Full Time,Non-executive,Marketing / Public Relations ,,,, Perform the data processing and post-survey data analysis Handle statistical requests using statistical tools   , Perform the data processing and post-survey data analysis Handle statistical requests using statistical tools   
"Analyst, EDS",STANDARD CHARTERED BANK,Full Time,Professional,Banking and Finance,7826.0,8570.0,Monthly,"About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.   To us, good performance is about much more than turning a profit.  It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.  We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base. The Role Responsibilities The STSP (Stress Testing Strategic Programme) implementation project is a group wide effort driven by a central project team. The program is responsible for delivering a strategic platform to perform enterprise wide stress testing across Risk and Finance areas. The Senior Data Analyst role is responsible to support the implementation of initiatives for the STSP implementation. The following are key responsibilities for the Senior Data Analyst, STSP Data Delivery Team position:   Responsible for the data requirement of initiatives for the STSP. Responsible to review functional specification documents. Work closely with ITO to design and implement the STSP initiative requirements in SAS (eg, Stress Testing Workbench (STW) and Business Rules Manager (BRM)). Liaise with other STSP work streams including the modelling and EDM teams to identify Critical Data Element (CDE), and responsible for data sourcing and posting accordingly. Attend / provide updates to project working groups. Support the overall delivery of the STSP Solution. Gather data requirement for Financial Risk modelling for STSP delivery. Comply with regulatory data definitions & identify data gaps. Working with EDM on data profiling and identify data sources of data requirement. Prepare detailed data requirement document and proposal of data flow as input to (BRD / CR). Conduct data analysis & validate data profiling results. Establish testing plan for Functional Testing and UAT is defined, definition and execution of test scripts and test cases in SAS / EDM / PRAXATA environment.","About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.   To us, good performance is about much more than turning a profit.  It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.  We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base. The Role Responsibilities The STSP (Stress Testing Strategic Programme) implementation project is a group wide effort driven by a central project team. The program is responsible for delivering a strategic platform to perform enterprise wide stress testing across Risk and Finance areas. The Senior Data Analyst role is responsible to support the implementation of initiatives for the STSP implementation. The following are key responsibilities for the Senior Data Analyst, STSP Data Delivery Team position:   Responsible for the data requirement of initiatives for the STSP. Responsible to review functional specification documents. Work closely with ITO to design and implement the STSP initiative requirements in SAS (eg, Stress Testing Workbench (STW) and Business Rules Manager (BRM)). Liaise with other STSP work streams including the modelling and EDM teams to identify Critical Data Element (CDE), and responsible for data sourcing and posting accordingly. Attend / provide updates to project working groups. Support the overall delivery of the STSP Solution. Gather data requirement for Financial Risk modelling for STSP delivery. Comply with regulatory data definitions & identify data gaps. Working with EDM on data profiling and identify data sources of data requirement. Prepare detailed data requirement document and proposal of data flow as input to (BRD / CR). Conduct data analysis & validate data profiling results. Establish testing plan for Functional Testing and UAT is defined, definition and execution of test scripts and test cases in SAS / EDM / PRAXATA environment."
BI Consultant,INTELLECT MINDS PTE. LTD.,Full Time,Executive,Information Technology,6500.0,8000.0,Monthly,"Company Overview Intellect Minds is a Singapore-based company since 2008, specializing in talent acquisition, application development, and training. We serve BIG MNCs and well-known clients in talent acquisition, application development, and training needs for Singapore, Malaysia, Brunei, Vietnam and Thailand. Our client is an establish company a, leader within their industry, is now looking for a Data Analyst to join their esteemed organization. Job Descriptions: Role and Responsibilities  Develop, optimize, and maintain integration solution (ETL Framework) using Talend Technologies (DI, Data Quality, Big Data Platform), SQL Server, Sybase, Oracle, Hadoop, and etc. Gather and Analyze the requirements (business and data) and build quality ETL process that includes standard process such as Audit, Error handling, Alerts, Control Process, and etc. Makes recommendations, based on data profiling and data analysis, for changes to existing/legacy systems particularly in the area of automated data validations. Collaborate, manage, and monitor thousands of Talend ETL jobs such as load data into your Hadoop cluster from various sources. Create detail technical specification, operation guide, and other required/requested documents. Gather and develop metadata (data mapping, data lineage, etc.) and coordinate all the data activities Communicate and work effectively with business, SMEs, Non-Technical, and IT staffs across functional departments. Contribute to the entire implementation process including driving the definition of improvements based on the business needs and architectural improvement. Provide production support such as deployment, change request, monitoring, impact analysis, track issues and prompt defect solution, and recommendation for a preventive measure. Perform all other job duties as assigned by the supervisor. ","Company Overview Intellect Minds is a Singapore-based company since 2008, specializing in talent acquisition, application development, and training. We serve BIG MNCs and well-known clients in talent acquisition, application development, and training needs for Singapore, Malaysia, Brunei, Vietnam and Thailand. Our client is an establish company a, leader within their industry, is now looking for a Data Analyst to join their esteemed organization. Job Descriptions: Role and Responsibilities  Develop, optimize, and maintain integration solution (ETL Framework) using Talend Technologies (DI, Data Quality, Big Data Platform), SQL Server, Sybase, Oracle, Hadoop, and etc. Gather and Analyze the requirements (business and data) and build quality ETL process that includes standard process such as Audit, Error handling, Alerts, Control Process, and etc. Makes recommendations, based on data profiling and data analysis, for changes to existing/legacy systems particularly in the area of automated data validations. Collaborate, manage, and monitor thousands of Talend ETL jobs such as load data into your Hadoop cluster from various sources. Create detail technical specification, operation guide, and other required/requested documents. Gather and develop metadata (data mapping, data lineage, etc.) and coordinate all the data activities Communicate and work effectively with business, SMEs, Non-Technical, and IT staffs across functional departments. Contribute to the entire implementation process including driving the definition of improvements based on the business needs and architectural improvement. Provide production support such as deployment, change request, monitoring, impact analysis, track issues and prompt defect solution, and recommendation for a preventive measure. Perform all other job duties as assigned by the supervisor. "
Qlikview / Qliksense Consultant,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Contract,Senior Executive,Information Technology,5000.0,7500.0,Monthly,Company UEN:199700895N Our Client - A Leading Bank is looking to hire professionals for the below mentioned role. Contract Duration: 6 months Years of Relevant Experience: 4 +,Company UEN:199700895N Our Client - A Leading Bank is looking to hire professionals for the below mentioned role. Contract Duration: 6 months Years of Relevant Experience: 4 +
Actuarial Data Analyst,Company Undisclosed,Permanent,"Professional, Executive",Banking and Finance,3500.0,4000.0,Monthly,"This role requires the use of available system architecture to transform portfolio data into a standardised and enriched format for down-stream consumption. Responsibilities / Accountability:     Working closely with the actuarial and accounting teams in the regional and local offices, map client-format portfolio data onto system, ensuring an ultimate consistency of format, while maintaining data integrity. This will entail using insurance knowledge and problem-solving skills to:     analyse and understand treaty terms, product features and data formats gather and structure the required treaty and product parameters perform reconciliations of client-provided portfolio data to confirm quality and interpretation manage transformations and validation rules as coded on the system liaise with local offices to clarify terms and resolve any issues identified test and document the work done   ","This role requires the use of available system architecture to transform portfolio data into a standardised and enriched format for down-stream consumption. Responsibilities / Accountability:     Working closely with the actuarial and accounting teams in the regional and local offices, map client-format portfolio data onto system, ensuring an ultimate consistency of format, while maintaining data integrity. This will entail using insurance knowledge and problem-solving skills to:     analyse and understand treaty terms, product features and data formats gather and structure the required treaty and product parameters perform reconciliations of client-provided portfolio data to confirm quality and interpretation manage transformations and validation rules as coded on the system liaise with local offices to clarify terms and resolve any issues identified test and document the work done   "
Data Analyst - Data Transformation IMO,ROBERT WALTERS (SINGAPORE) PTE LTD,"Temporary, Contract",Executive,Information Technology,6000.0,7400.0,Monthly,"A new Data Analyst - Data Transformation IMO job based in Singapore has just become available at a reputable global bank. About the Data Analyst - Data Transformation IMO Role: You will be responsible for Global Banking (GB) and Commercial Banking (CB) Analytics, which will include data sourcing, data transformation, predictive modelling, and creating Tableau dashboards. Key Responsibilities:  Create strong blending data capabilities within team to enable organisation to come up with useful client information from data very quickly Engage with business stakeholders cross countries and gather requirements and liaise with ETL team to get the required data preparation Promote analytics-driven decision-making processes across multiple segments/product portfolios Engage and execute the dashboards on Tableau or similar visualisation tools Explore statistical and automation tools such as R, SAS, Python for predictive and prescriptive analytics Engage relevant technology teams to embed advanced statistical tools Prepare and/or contribute to regular updates for various committees and governance forums Provide insights to senior management and the network based on MIS and analytics Highlight any perceived risks and early alerts to the management based on data analytics Perform data validation and dashboard performance optimisation ","A new Data Analyst - Data Transformation IMO job based in Singapore has just become available at a reputable global bank. About the Data Analyst - Data Transformation IMO Role: You will be responsible for Global Banking (GB) and Commercial Banking (CB) Analytics, which will include data sourcing, data transformation, predictive modelling, and creating Tableau dashboards. Key Responsibilities:  Create strong blending data capabilities within team to enable organisation to come up with useful client information from data very quickly Engage with business stakeholders cross countries and gather requirements and liaise with ETL team to get the required data preparation Promote analytics-driven decision-making processes across multiple segments/product portfolios Engage and execute the dashboards on Tableau or similar visualisation tools Explore statistical and automation tools such as R, SAS, Python for predictive and prescriptive analytics Engage relevant technology teams to embed advanced statistical tools Prepare and/or contribute to regular updates for various committees and governance forums Provide insights to senior management and the network based on MIS and analytics Highlight any perceived risks and early alerts to the management based on data analytics Perform data validation and dashboard performance optimisation "
2019 Market Data Analyst,BLOOMBERG SINGAPORE PTE. LTD.,Permanent,"Fresh/entry level, Junior Executive","Banking and Finance, Information Technology",75000.0,85000.0,Annually,"You're the type of person who has a passion for taking raw numbers and turning them into actionable insights. Your friends all know you as someone with a true interest in technology, who likes nothing more than spotting a creative way to improve a process. You have a natural eye for detail, and an interest in the financial markets. You are independent and determined, but thrive as part of a team. You enjoy dealing with people, and you're that person who knows what customer service really means. Our team Bloomberg runs on data, and our Global Data department is responsible for acquiring it and supplying it to our clients. Our Market Data Analysts collect, analyse, process and publish the data which is the backbone of our iconic Bloomberg Terminal- the data which ultimately moves the financial universe. They apply problem-solving skills to identify innovative workflow efficiencies, and they implement technology solutions to improve our systems, products and processes- and all this while providing platinum customer support to our customers. We'll trust you to:   Acquire, update, maintain and process financial data using various internal systems and proprietary company software  Come up with innovative ways to enhance our systems and to make our data-related processes more efficient, accurate and timely  Participate in time-sensitive projects, and collaborate with your global colleagues to deliver new initiatives  Partner closely with internal departments such as Sales, Analytics, News and Engineering  Provide a platinum level of service to Bloomberg customers  What's in it for you?   Comprehensive training giving you a thorough overview of financial concepts, various data sets, and of course our state-of-the-art Bloomberg terminal  Gain in-depth, hands-on experience of one particular market sector (For example: Company Financials)  Opportunity to gain exposure to and interact with key market players in business and finance  Make a true business impact on our products and clients – our data moves markets!  Real potential for exciting and varied career progression ","You're the type of person who has a passion for taking raw numbers and turning them into actionable insights. Your friends all know you as someone with a true interest in technology, who likes nothing more than spotting a creative way to improve a process. You have a natural eye for detail, and an interest in the financial markets. You are independent and determined, but thrive as part of a team. You enjoy dealing with people, and you're that person who knows what customer service really means. Our team Bloomberg runs on data, and our Global Data department is responsible for acquiring it and supplying it to our clients. Our Market Data Analysts collect, analyse, process and publish the data which is the backbone of our iconic Bloomberg Terminal- the data which ultimately moves the financial universe. They apply problem-solving skills to identify innovative workflow efficiencies, and they implement technology solutions to improve our systems, products and processes- and all this while providing platinum customer support to our customers. We'll trust you to:   Acquire, update, maintain and process financial data using various internal systems and proprietary company software  Come up with innovative ways to enhance our systems and to make our data-related processes more efficient, accurate and timely  Participate in time-sensitive projects, and collaborate with your global colleagues to deliver new initiatives  Partner closely with internal departments such as Sales, Analytics, News and Engineering  Provide a platinum level of service to Bloomberg customers  What's in it for you?   Comprehensive training giving you a thorough overview of financial concepts, various data sets, and of course our state-of-the-art Bloomberg terminal  Gain in-depth, hands-on experience of one particular market sector (For example: Company Financials)  Opportunity to gain exposure to and interact with key market players in business and finance  Make a true business impact on our products and clients – our data moves markets!  Real potential for exciting and varied career progression "
Junior Data Analyst,OBSERVATIONAL AND PRAGMATIC RESEARCH INSTITUTE PTE. LTD.,"Permanent, Full Time",Junior Executive,Information Technology,3000.0,4000.0,Monthly,"Observational and Pragmatic Research Institute (OPRI) is a unique academic research institution, working with both the pharmaceutical and academic industry, with the overarching goal to improve the lives of patients through conducting vital global real-world research. OPRI is part of a global network of international companies, with partner companies located in the United Kingdom and Australia. OPRI has been leading the paradigm shift in real-world evidence for the past 12 years, by delivering pragmatic clinical trials, disease registries and database research. We are currently seeking a hard-working and motivated Data Analyst to join our international team. You would be involved in supporting the team developing the first global severe asthma registry ever developed, joining a young and enthusiastic team in supporting a globally-renowned project. Key responsibilities of the role will be to:  Provide support on database querying, population and reporting, using structured query language (SQL). Assist in generate data releases following study protocol requirements and service reports (Tableau). Advise internal team members and external clients on study database(s) content. Engage in building and maintaining data dictionaries and system technical documentation. Undertake quality checks to assure high standards of data and code. Contribute to data analyses as required for research projects. Maintain compliance with information governance and company policies. ","Observational and Pragmatic Research Institute (OPRI) is a unique academic research institution, working with both the pharmaceutical and academic industry, with the overarching goal to improve the lives of patients through conducting vital global real-world research. OPRI is part of a global network of international companies, with partner companies located in the United Kingdom and Australia. OPRI has been leading the paradigm shift in real-world evidence for the past 12 years, by delivering pragmatic clinical trials, disease registries and database research. We are currently seeking a hard-working and motivated Data Analyst to join our international team. You would be involved in supporting the team developing the first global severe asthma registry ever developed, joining a young and enthusiastic team in supporting a globally-renowned project. Key responsibilities of the role will be to:  Provide support on database querying, population and reporting, using structured query language (SQL). Assist in generate data releases following study protocol requirements and service reports (Tableau). Advise internal team members and external clients on study database(s) content. Engage in building and maintaining data dictionaries and system technical documentation. Undertake quality checks to assure high standards of data and code. Contribute to data analyses as required for research projects. Maintain compliance with information governance and company policies. "
