title,company,employment_type,job_level,category,salary_lower,salary_upper,salary_time_interval,roles,requirements
"Strategic Cloud Data Engineer, Google Professional Services - Singapore",GOOGLE ASIA PACIFIC PTE. LTD.,Full Time,Executive,Engineering,6750.0,13500.0,Monthly,"Company overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Google Cloud Google Cloud helps millions of employees and organizations empower their employees, serve their customers, and build what’s next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. And our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. The role: Strategic Cloud Data Engineer, Google Professional Services - Singapore The Google Cloud Platform team helps customers transform and evolve their business through the use of Google’s global network, web-scale data centers and software infrastructure. As part of an entrepreneurial team in this rapidly growing business, you will help shape the future of businesses of all sizes use technology to connect with customers, employees and partners. Additional Role Description: As a Cloud Data Engineer, you'll guide customers on how to ingest, store, process, analyze and explore/visualize data on the Google Cloud Platform. You will work on data migrations and transformational projects and work with customers to design large-scale data processing systems, develop data pipelines optimized for scaling, and troubleshoot potential platform challenges. You will travel to customer sites to deploy solutions and deliver workshops to educate and empower customers. Additionally, you'll work closely with Product Management and Product Engineering teams to build and constantly drive excellence in our products. Responsibilities: - Be a trusted technical advisor to customers and solve complex cloud infrastructure and networking challenges. - Create and deliver best practices recommendations, tutorials, blog articles, sample code and technical presentations adapting to different levels of key business and technical stakeholders. - Travel regularly, up to 30% of the time in-region for meetings, technical reviews, and onsite delivery activities.","Company overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Google Cloud Google Cloud helps millions of employees and organizations empower their employees, serve their customers, and build what’s next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. And our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. The role: Strategic Cloud Data Engineer, Google Professional Services - Singapore The Google Cloud Platform team helps customers transform and evolve their business through the use of Google’s global network, web-scale data centers and software infrastructure. As part of an entrepreneurial team in this rapidly growing business, you will help shape the future of businesses of all sizes use technology to connect with customers, employees and partners. Additional Role Description: As a Cloud Data Engineer, you'll guide customers on how to ingest, store, process, analyze and explore/visualize data on the Google Cloud Platform. You will work on data migrations and transformational projects and work with customers to design large-scale data processing systems, develop data pipelines optimized for scaling, and troubleshoot potential platform challenges. You will travel to customer sites to deploy solutions and deliver workshops to educate and empower customers. Additionally, you'll work closely with Product Management and Product Engineering teams to build and constantly drive excellence in our products. Responsibilities: - Be a trusted technical advisor to customers and solve complex cloud infrastructure and networking challenges. - Create and deliver best practices recommendations, tutorials, blog articles, sample code and technical presentations adapting to different levels of key business and technical stakeholders. - Travel regularly, up to 30% of the time in-region for meetings, technical reviews, and onsite delivery activities."
Senior Data Engineer,THOUGHTWORKS PTE. LTD.,Full Time,Professional,"Consulting , Information Technology",5700.0,11200.0,Monthly,"Singapore, SingaporeThoughtWorks Singapore is looking for talented engineers passionate about building large scale data processing systems to help manage the ever-growing information needs of our clients.    You will be responsible for -   Creating complex data processing pipelines, as part of diverse, high energy teams Designing scalable implementations of the models  Hands-on programming based on TDD, usually in a pair programming environment Deploying data pipelines in production based on Continuous Delivery practices Advising clients on the usage of different distributed storage and computing technologies from the plethora of options available in the ecosystem ","Singapore, SingaporeThoughtWorks Singapore is looking for talented engineers passionate about building large scale data processing systems to help manage the ever-growing information needs of our clients.    You will be responsible for -   Creating complex data processing pipelines, as part of diverse, high energy teams Designing scalable implementations of the models  Hands-on programming based on TDD, usually in a pair programming environment Deploying data pipelines in production based on Continuous Delivery practices Advising clients on the usage of different distributed storage and computing technologies from the plethora of options available in the ecosystem "
Sr. Software engineer Data cap /  ICM,NIBAARA TECHNOLOGIES PTE. LTD.,Full Time,Professional,Information Technology,5000.0,7000.0,Monthly," Ensure the timely completion of the tasks assigned Ensure to follow the Technology and Process Standards, set for the project Produce high quality technical documentation Develop Low Level Design Undertake development tasks with minimal supervision, including programming and testing To monitor progress and provide timely updates to Lead On need basis should able to work as back up lead Technical Design documents Developed Programs with high quality and as per the planned schedule Developed Programs with high quality, with process standards and as per the planned schedule Unit Test Cases Interacts with Technical Lead, BAs and testers for the project during the project lifecycle Interacts with the Client managers, for status review meetings "," Ensure the timely completion of the tasks assigned Ensure to follow the Technology and Process Standards, set for the project Produce high quality technical documentation Develop Low Level Design Undertake development tasks with minimal supervision, including programming and testing To monitor progress and provide timely updates to Lead On need basis should able to work as back up lead Technical Design documents Developed Programs with high quality and as per the planned schedule Developed Programs with high quality, with process standards and as per the planned schedule Unit Test Cases Interacts with Technical Lead, BAs and testers for the project during the project lifecycle Interacts with the Client managers, for status review meetings "
Data cap /  ICM Engineer,NIBAARA TECHNOLOGIES PTE. LTD.,Full Time,Professional,Information Technology,4500.0,6000.0,Monthly," Hands on experience in designing and developing applications using Datacap 9.1. Profound insight of dojo, navigator, VB script and Java script. Working experience with Relational Databases, PL/SQL. Experience in Oracle preferred. Experience in Datacap solution deployment. Object oriented analysis and design using common design patterns. Good to have experience in designing and developing applications using Datacap 8.1, ASP.net and VB script. Good to have knowledge of OCR (optical character recognition) Technical Design documents Developed Programs with high quality and as per the planned schedule Developed Programs with high quality, with process standards and as per the planned schedule Unit Test Cases   "," Hands on experience in designing and developing applications using Datacap 9.1. Profound insight of dojo, navigator, VB script and Java script. Working experience with Relational Databases, PL/SQL. Experience in Oracle preferred. Experience in Datacap solution deployment. Object oriented analysis and design using common design patterns. Good to have experience in designing and developing applications using Datacap 8.1, ASP.net and VB script. Good to have knowledge of OCR (optical character recognition) Technical Design documents Developed Programs with high quality and as per the planned schedule Developed Programs with high quality, with process standards and as per the planned schedule Unit Test Cases   "
Data Engineer,Company Undisclosed,Permanent,"Executive, Senior Executive",Banking and Finance,6500.0,13000.0,Monthly,"Position Purpose The APAC GM & ALMT IT TP Engineering group runs Trade Processing and Regulatory Projects for Global Market and ALMT business and operations.   Responsibilities  Partner with senior business sponsors, platform supervision, compliance, and business management to enhance and augment the holistic supervisory and surveillance platform Investigate and analyze data on the surveillance platform as key input to enhance existing data strategy on multi-vector analysis using various natural language processing and machine learning techniques Primary focus is to investigate and analyze available structured and un-structured information, apply data mining techniques, perform statistical analysis, and provide methods (algorithmic and technical) to create actionable alerts and reduce false-positives Develop and enhance software solutions to meet business requirements Gather and document technical requirements and specifications Work with the project PM and BA’s on project planning and deliverable Work on multiple tasks and respect aggressive schedule Work in a fast paced environment. ","Position Purpose The APAC GM & ALMT IT TP Engineering group runs Trade Processing and Regulatory Projects for Global Market and ALMT business and operations.   Responsibilities  Partner with senior business sponsors, platform supervision, compliance, and business management to enhance and augment the holistic supervisory and surveillance platform Investigate and analyze data on the surveillance platform as key input to enhance existing data strategy on multi-vector analysis using various natural language processing and machine learning techniques Primary focus is to investigate and analyze available structured and un-structured information, apply data mining techniques, perform statistical analysis, and provide methods (algorithmic and technical) to create actionable alerts and reduce false-positives Develop and enhance software solutions to meet business requirements Gather and document technical requirements and specifications Work with the project PM and BA’s on project planning and deliverable Work on multiple tasks and respect aggressive schedule Work in a fast paced environment. "
"VP / AVP, Senior Data Engineer, Group Consumer Banking and Big Data Analytics Technology (180003L2)",DBS BANK LTD.,"Permanent, Full Time","Middle Management, Manager",Banking and Finance,7000.0,14000.0,Monthly," Design and implement key components for highly scalable, distributed data collection and analysis system built for handling petabytes of data in the cloud.  Work with architects from other divisions contributing to this analytics system and mentor team members on best practices in backend infrastructure and distributed computing topics.  Analyze source data and data flows, working with structured and unstructured data. Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Analyze and visualize diverse sources of data, interpret results in the business context and report results clearly and concisely. Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms. Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products. Build and optimize classifiers using machine learning techniques and enhance data collection procedures that is relevant for building analytic systems. Discover data sources, get access to them, import them, clean them up, and make them “model-ready”. You need to be willing and able to do your own ETL. Create and refine features from the underlying data. You’ll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you’ll lather, rinse and repeat. Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders. "," Design and implement key components for highly scalable, distributed data collection and analysis system built for handling petabytes of data in the cloud.  Work with architects from other divisions contributing to this analytics system and mentor team members on best practices in backend infrastructure and distributed computing topics.  Analyze source data and data flows, working with structured and unstructured data. Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Analyze and visualize diverse sources of data, interpret results in the business context and report results clearly and concisely. Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms. Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products. Build and optimize classifiers using machine learning techniques and enhance data collection procedures that is relevant for building analytic systems. Discover data sources, get access to them, import them, clean them up, and make them “model-ready”. You need to be willing and able to do your own ETL. Create and refine features from the underlying data. You’ll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you’ll lather, rinse and repeat. Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders. "
Data Engineer,HYDROINFORMATICS INSTITUTE PTE. LTD.,Full Time,Executive,Professional Services,,,,"Roles and Responsibilities:  Implement data wrangling, preprocessing and preparation scripts for available raw environmental data Implement statistical and machine learning algorithms for data analysis and knowledge derivation Implement data visualization solutions for post processing and communication to internal and external teams Create and maintain databases for different kinds of geo-spatiotemporal data Monitor and manage data pipelines and test production codes ","Roles and Responsibilities:  Implement data wrangling, preprocessing and preparation scripts for available raw environmental data Implement statistical and machine learning algorithms for data analysis and knowledge derivation Implement data visualization solutions for post processing and communication to internal and external teams Create and maintain databases for different kinds of geo-spatiotemporal data Monitor and manage data pipelines and test production codes "
Cyber Security Big Data Engineer,Company Undisclosed,Full Time,Professional,Information Technology,7000.0,12000.0,Monthly,"Working in Cybersecurity takes pure passion for technology, speed, a constant desire to learn, and above all, vigilance in keeping every last asset safe and sound. You’ll be on the front lines of innovation, working with a highly-motivated team laser-focused on analyzing, designing, developing and delivering solutions built to stop adversaries and strengthen our operations. Your research and work will ensure stability, capacity and resiliency of our products in emerging industry trends. Working in tandem with your internal team, as well as technologists and innovators across our global network, your ability to identify threats, provide intelligent analysis and positive actions will stop adversaries and strengthen our products.   Responsibilities  Focus on the development of tools and technologies that are at the core of the company’s capabilities to manage, monitor and hunt for cyber security incidents Architecture and development of large scale solution (big data) to be used in a very large production environment System, network and application troubleshooting Provide engineering support for cyber security products developed ","Working in Cybersecurity takes pure passion for technology, speed, a constant desire to learn, and above all, vigilance in keeping every last asset safe and sound. You’ll be on the front lines of innovation, working with a highly-motivated team laser-focused on analyzing, designing, developing and delivering solutions built to stop adversaries and strengthen our operations. Your research and work will ensure stability, capacity and resiliency of our products in emerging industry trends. Working in tandem with your internal team, as well as technologists and innovators across our global network, your ability to identify threats, provide intelligent analysis and positive actions will stop adversaries and strengthen our products.   Responsibilities  Focus on the development of tools and technologies that are at the core of the company’s capabilities to manage, monitor and hunt for cyber security incidents Architecture and development of large scale solution (big data) to be used in a very large production environment System, network and application troubleshooting Provide engineering support for cyber security products developed "
"VP / AVP, Machine Learning Engineer, Group Consumer Banking and Big Data Analytics Tech (180003YE)",DBS BANK LTD.,"Permanent, Full Time","Middle Management, Manager",Banking and Finance,7000.0,14000.0,Monthly,"Job Purpose    Build and improve machine learning and analytics platform. Work with data scientists to create, optimize and productionize of machine learning models for various business units within the organization. Keep innovating and optimizing data and machine learning workflow to enable data-driven business activities at large scale.    Responsibilities   Build and improve machine learning and analytics platform.       Apply cutting edge technologies and tool chain in big data and machine learning to build machine learning and analytics platform. Keep innovating and optimizing the machine learning workflow, from data exploration, model experimentation/prototyping to production. Provide engineering solution and framework to support machine learning and data-driven business activities at large scale. Perform R&D on new technologies and solutions to improve accessibility, scalability, efficiency and us abilities of machine learning and analytics platform.     Work with data scientists to build end-to-end machine learning and analytics solution to solve business challenges.       Turn advanced machine learning models created by data scientists into end-to-end production grade system. Build analytics platform components to support data collection, exploratory, and integration from various sources being data API, RDBMS, or big data platform. Optimize efficiency of machine learning algorithm by applying state-of-the-art technologies, i.e. distributed computing, concurrent programming, or GPU parallel computing.      Establish, apply and maintain best practices and principles of machine learning engineering.       Study and evaluate the state of the art technologies, tools, and frameworks of machine learning engineering. Contribute in creation of blueprint and reference architecture for various machine learning use cases. Support the organization in transformation towards a data driven business culture.     Work Relationships  Internal        Work closely with data scientists, business team, and project managers to provide machine learning and data-driven business solution.  Collaborate with other technology teams to build platform and framework to enable machine learning and data analytics activities at large scale     External        Maintain engineering principles and best practices of machine learning framework and technologies.   ","Job Purpose    Build and improve machine learning and analytics platform. Work with data scientists to create, optimize and productionize of machine learning models for various business units within the organization. Keep innovating and optimizing data and machine learning workflow to enable data-driven business activities at large scale.    Responsibilities   Build and improve machine learning and analytics platform.       Apply cutting edge technologies and tool chain in big data and machine learning to build machine learning and analytics platform. Keep innovating and optimizing the machine learning workflow, from data exploration, model experimentation/prototyping to production. Provide engineering solution and framework to support machine learning and data-driven business activities at large scale. Perform R&D on new technologies and solutions to improve accessibility, scalability, efficiency and us abilities of machine learning and analytics platform.     Work with data scientists to build end-to-end machine learning and analytics solution to solve business challenges.       Turn advanced machine learning models created by data scientists into end-to-end production grade system. Build analytics platform components to support data collection, exploratory, and integration from various sources being data API, RDBMS, or big data platform. Optimize efficiency of machine learning algorithm by applying state-of-the-art technologies, i.e. distributed computing, concurrent programming, or GPU parallel computing.      Establish, apply and maintain best practices and principles of machine learning engineering.       Study and evaluate the state of the art technologies, tools, and frameworks of machine learning engineering. Contribute in creation of blueprint and reference architecture for various machine learning use cases. Support the organization in transformation towards a data driven business culture.     Work Relationships  Internal        Work closely with data scientists, business team, and project managers to provide machine learning and data-driven business solution.  Collaborate with other technology teams to build platform and framework to enable machine learning and data analytics activities at large scale     External        Maintain engineering principles and best practices of machine learning framework and technologies.   "
Lead Data Engineer (Established FinTech Co / East),PEOPLE PROFILERS PTE. LTD.,Permanent,Senior Executive,Information Technology,7500.0,10000.0,Monthly," Join a rapidly expanding and reputable company in FinTech industry  Attractive remuneration package Great benefits (work-life balance, fun work environment, health insurance, dental plan) Junior & senior positions available    Position Overview:  Support our team in developing cutting-edge solutions for the FinTech industry, keeping security standards in mind.    Responsibilities:  Building robust batch and streaming data pipeline for production-grade data products/platforms (tools: Hadoop, Spark) Creating web services or APIs to connect analytical stacks to application layers Building and maintaining both cloud and on-premise data infrastructure Data cleaning, & pre-processing (e.g. with images/text) Analyse requirements and deliver suitable solutions Write code according to best practices, and which meets security standards Keep up to date with new technologies "," Join a rapidly expanding and reputable company in FinTech industry  Attractive remuneration package Great benefits (work-life balance, fun work environment, health insurance, dental plan) Junior & senior positions available    Position Overview:  Support our team in developing cutting-edge solutions for the FinTech industry, keeping security standards in mind.    Responsibilities:  Building robust batch and streaming data pipeline for production-grade data products/platforms (tools: Hadoop, Spark) Creating web services or APIs to connect analytical stacks to application layers Building and maintaining both cloud and on-premise data infrastructure Data cleaning, & pre-processing (e.g. with images/text) Analyse requirements and deliver suitable solutions Write code according to best practices, and which meets security standards Keep up to date with new technologies "
