title,company,employment_type,job_level,category,salary_lower,salary_upper,salary_time_interval,roles,requirements
SENIOR DATA SCIENTIST (68722),SIEMENS PTE. LTD.,Permanent,"Professional, Senior Executive","Engineering, Information Technology",5000.0,8000.0,Monthly,"Responsibilities  Collaborate with Product Owners to develop a product data-driven strategy. Understand the competitive marketplace, business issues, and data challenges in order to deliver actionable insights, recommendations, and business processes. Work in a collaborative team environment with other highly skilled specialists in statistics, machine learning, and software engineering. Research new modeling algorithms, languages, packages, and statistical tools to enhance the overall productivity of the team. Design and implement experiments to test various hypotheses. Drive and lead data science related products. Communicate complex solutions in a clear and understandable way to both experts and non-experts. Promote a Data-driven customer-centric culture at Siemens. ","Responsibilities  Collaborate with Product Owners to develop a product data-driven strategy. Understand the competitive marketplace, business issues, and data challenges in order to deliver actionable insights, recommendations, and business processes. Work in a collaborative team environment with other highly skilled specialists in statistics, machine learning, and software engineering. Research new modeling algorithms, languages, packages, and statistical tools to enhance the overall productivity of the team. Design and implement experiments to test various hypotheses. Drive and lead data science related products. Communicate complex solutions in a clear and understandable way to both experts and non-experts. Promote a Data-driven customer-centric culture at Siemens. "
Design Engineer / Electronic Component MNC / 5 days week / Max $5500,CAREER TREND PTE. LTD.,Full Time,Senior Executive,Information Technology,4000.0,5500.0,Monthly,"Work with marketing teams building the next-generation intelligent HW platforms. As an architect, you’ll work with SW/applications team on driving future requirements on machine learning/computer vision applications, prototype them in C++/Python, write architecture spec and work with HW & FPGA design teams for implementation. • CS/EE/Data Scientist specializing in Machine Learning, Deep Learning or computer vision systems • Expertise and experience in machine learning algorithms, such as convolutional neural network, LSTM (Long Short-Term Memory) neural network, classification/detection and their applications • Familiarity in computer vision algorithms such as object detection, tracking and recognition, 3D computer vision — SfM/SLAM Understanding the system implications of aforementioned algorithms in terms of performance and power","Work with marketing teams building the next-generation intelligent HW platforms. As an architect, you’ll work with SW/applications team on driving future requirements on machine learning/computer vision applications, prototype them in C++/Python, write architecture spec and work with HW & FPGA design teams for implementation. • CS/EE/Data Scientist specializing in Machine Learning, Deep Learning or computer vision systems • Expertise and experience in machine learning algorithms, such as convolutional neural network, LSTM (Long Short-Term Memory) neural network, classification/detection and their applications • Familiarity in computer vision algorithms such as object detection, tracking and recognition, 3D computer vision — SfM/SLAM Understanding the system implications of aforementioned algorithms in terms of performance and power"
Data Scientist,Company Undisclosed,Permanent,"Professional, Executive",Banking and Finance,8000.0,10000.0,Monthly,"This role aims to offer new services and business models through advanced Machine learning and deep learning methods. In this role you will collaborate closely with external clients, underwriters, client managers, the IT department, and with relevant analytics teams across the globe. You will apply Machine Learning (ML) and Deep Learning (DL) methods to interpret data (images, structured, unstructured) and build solutions to and solve real problems our clients are facing today. If you want to help shape the future as part of our team, we look forward to hearing from you. Tasks and Responsibilities:  Develop insurance business solutions based upon insight discovered from data. Active participation and management of projects in the fields of statistics, ML and DL. Development and implementation of solutions that enable operational units to increase quantity and quality of new business. Supporting and advising the business units in applying the latest research methods and providing a central source for specialised know-how, tools and techniques for data analysis and modelling. Presentation of statistical, ML and DL solutions to internal and external stakeholders. Networking with already existing data-intensive units in the area of analysis and reporting, as well as with IT to form an analytics community. Collaborate with internal partners and data analytics centre to leverage capabilities in big data technology. ","This role aims to offer new services and business models through advanced Machine learning and deep learning methods. In this role you will collaborate closely with external clients, underwriters, client managers, the IT department, and with relevant analytics teams across the globe. You will apply Machine Learning (ML) and Deep Learning (DL) methods to interpret data (images, structured, unstructured) and build solutions to and solve real problems our clients are facing today. If you want to help shape the future as part of our team, we look forward to hearing from you. Tasks and Responsibilities:  Develop insurance business solutions based upon insight discovered from data. Active participation and management of projects in the fields of statistics, ML and DL. Development and implementation of solutions that enable operational units to increase quantity and quality of new business. Supporting and advising the business units in applying the latest research methods and providing a central source for specialised know-how, tools and techniques for data analysis and modelling. Presentation of statistical, ML and DL solutions to internal and external stakeholders. Networking with already existing data-intensive units in the area of analysis and reporting, as well as with IT to form an analytics community. Collaborate with internal partners and data analytics centre to leverage capabilities in big data technology. "
IT Data Scientist (Generalist),Company Undisclosed,Full Time,Professional,Information Technology,7000.0,12000.0,Monthly,"The Data Scientist should have a graduate degree in Computer Science, Statistics, Deep Learning or Machine Learning and a strong background in statistical methods such as Bayesian statistics, time series forecasting, and feature engineering. Candidates with an undergraduate degree and a demonstrable track record in these domains are encouraged to apply.   Responsibilities  Implement state-of-the-art deep learning and machine learning models  Conduct original research on our large repository of data, both proprietary and open-source Write production-level code linking new and existing data pipelines with scripts for feature engineering, machine learning predictive models and visualization Write tests to check for integrity of our data, models and predictions ","The Data Scientist should have a graduate degree in Computer Science, Statistics, Deep Learning or Machine Learning and a strong background in statistical methods such as Bayesian statistics, time series forecasting, and feature engineering. Candidates with an undergraduate degree and a demonstrable track record in these domains are encouraged to apply.   Responsibilities  Implement state-of-the-art deep learning and machine learning models  Conduct original research on our large repository of data, both proprietary and open-source Write production-level code linking new and existing data pipelines with scripts for feature engineering, machine learning predictive models and visualization Write tests to check for integrity of our data, models and predictions "
Data Scientist,QANVAST PTE. LTD.,Full Time,Junior Executive,Information Technology,4000.0,6000.0,Monthly,"  Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions   Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.   Assess the effectiveness and accuracy of new data sources and data gathering techniques.   Develop custom data models and algorithms to apply to data sets.   Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.   Develop company A/B testing framework and test model quality.   Coordinate with different functional teams to implement models and monitor outcomes.   Develop processes and tools to monitor and analyze model performance and data accuracy.  ","  Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions   Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.   Assess the effectiveness and accuracy of new data sources and data gathering techniques.   Develop custom data models and algorithms to apply to data sets.   Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.   Develop company A/B testing framework and test model quality.   Coordinate with different functional teams to implement models and monitor outcomes.   Develop processes and tools to monitor and analyze model performance and data accuracy.  "
Senior Data Scientist,ORICA INTERNATIONAL PTE. LTD.,Permanent,Middle Management,Information Technology,150000.0,170000.0,Annually,"As part of a cross functional team which uses an analytic agile methodology to develop capabilities based on business needs, you will unravel complex problems, discover insights and identify opportunities using statistical, algorithmic, mining and visualisation techniques. In addition to advanced analytic skills, this role is also proficient in integrating and preparing large, varied datasets, architecting specialised database and computing environments, and communicating results. Based on your expertise of statistical knowledge, you will lead discovery processes with stakeholders to identify business requirements and the expected outcome, models and frames business scenarios that are meaningful and which impact on critical business processes and decisions. Critical to this position is the ability to come up with solutions to loosely defined business problems by leveraging pattern detection over potentially large datasets. You will work closely with clients, data stewards, other data scientists, project/program managers, and other IT teams to turn data into critical information and knowledge that can be used to make sound organisational decisions. Other responsibilities include proposing innovative ways to look at problems by using data mining approaches; validate findings using an experimental and iterative approach; present back the findings to the business by exposing their assumptions and validation work in a way that can be easily understood by their business counterparts; product solution and delivery; actively participating in Design Solution thinking; contribute to vision, roadmap, and content presentations and ensuring solution provided meets the customer needs.","As part of a cross functional team which uses an analytic agile methodology to develop capabilities based on business needs, you will unravel complex problems, discover insights and identify opportunities using statistical, algorithmic, mining and visualisation techniques. In addition to advanced analytic skills, this role is also proficient in integrating and preparing large, varied datasets, architecting specialised database and computing environments, and communicating results. Based on your expertise of statistical knowledge, you will lead discovery processes with stakeholders to identify business requirements and the expected outcome, models and frames business scenarios that are meaningful and which impact on critical business processes and decisions. Critical to this position is the ability to come up with solutions to loosely defined business problems by leveraging pattern detection over potentially large datasets. You will work closely with clients, data stewards, other data scientists, project/program managers, and other IT teams to turn data into critical information and knowledge that can be used to make sound organisational decisions. Other responsibilities include proposing innovative ways to look at problems by using data mining approaches; validate findings using an experimental and iterative approach; present back the findings to the business by exposing their assumptions and validation work in a way that can be easily understood by their business counterparts; product solution and delivery; actively participating in Design Solution thinking; contribute to vision, roadmap, and content presentations and ensuring solution provided meets the customer needs."
Head (Data Architect),Accountant-General's Department,Full Time,,"Accounting / Auditing / Taxation, Public / Civil Service",,,,"Head (Data Architect)
To architect, design and administer the Whole-of-Government (WOG) enterprise data analytics platform (FI@Gov) for the public sector finance and internal audit community.
The key objective of the AGD-Business Analytics directorate is to transform the finance and audit processes through data analytics, and to drive a data-driven approach in decision making. This includes strengthening data analytics capabilities and competencies to strengthen governance, optimise resource management and drive productivity.
The key roles fulfilled by this job include to:

Administer the development and maintenance of the public sector finance data warehouse and data architecture. This includes developing and implementing best practices to ensure optimal data quality, integrity, governance and system performance.
Drive data integration, data modelling, analytics and reporting deliverables in collaboration with business analysts and technology partners.
Manage large scale development and deployment of big data infrastructure and platform;
Review and govern design principles to ensure quality and performant design of dashboards and tools on the Business Intelligence platform powered by Microstrategy.
Plan and implement the data strategy and technology roadmap for the WOG finance analytics platform. This includes monitoring emerging trends of data analytics technologies, including related technologies in the area of robotics and artificial intelligence, and propose the technology roadmap for adoption and application.
Manage the deployment of advanced analytics applications with data pipelines integrated with the overall enterprise grade system architecture and infrastructure.
Manage a team of data analyst and data scientist, overseeing related projects from end-to-end, including user requirement studies, prototyping, development, testing and deployment.
Ensure proper documentation of the data warehouse and analytics platform, including design architecture, data schema, operations management procedures and system functional specifications.

 
 
Requirement

Good degree from a recognised university in computer science, computer engineering, information technology, or a related field.
At least 10 years of experience on enterprise data solutions and architecture
Competency in Microstrategy architecture is strongly preferred
A good understanding of big data technologies, with at least 3 years of experience in Hadoop ecosystem
Ability to independently architect and maintain a hybrid data platform, integrating Hadoop with SQL data warehouse
A good understanding of business intelligence tools and data science techniques like machine learning and text mining, with competency in open-source scripting language (e.g. R, Python) is advantageous
Experience in vendor management and project management is preferred
Team player who can work well with stakeholders from different public agencies
Self-motivated to learn and keeps up to date with the latest analytical technologies in the industry
Confident communicator, with good writing and presentation skills

If you are shortlisted for the position, you should hear from us within 30 days of the closing date of the advertisement. ",
Senior Technology Specialist - IT Services in Singapore (90501),GECO ASIA PTE. LTD.,"Contract, Full Time",Professional,Information Technology,6000.0,10000.0,Monthly,Job Summary: Role: Special / Senior Technology Specialist - IT Services (Senior Data Scientist - ML Specialist) in Singapore Start: ASAP Duration: 6 Months Location: Singapore,Job Summary: Role: Special / Senior Technology Specialist - IT Services (Senior Data Scientist - ML Specialist) in Singapore Start: ASAP Duration: 6 Months Location: Singapore
"Data Scientist, Technical Services",Company Undisclosed,"Permanent, Full Time",Executive,Information Technology,55000.0,60000.0,Annually,"Typically after a year of on the job training, a Data Scientist on the Technical Services team is able to:     ●    Digest Client’s Google Analytics (GA) and Google Tag Manager (GTM) implementation and identify areas of opportunity within Client data to recommend strategic solutions ●    Develop apps (visualization, routing data, cleaning data, access to data, interacting with data) for analytics platforms ●    Develop various Big Data capabilities in the cloud for our Clients, aligning them with business strategies and requirements ●    Architect solutions for massive scale, resiliency and maintainability, leveraging various cloud providers which meet technical, security, and business needs for applications and workloads ●    Execute strategic engineering proof of concepts and contribute to technology strategy and engineering roadmaps ●    Translate solutions and complicated concepts to all audiences, from executive level members to marketing teams ●    Other duties as assigned","Typically after a year of on the job training, a Data Scientist on the Technical Services team is able to:     ●    Digest Client’s Google Analytics (GA) and Google Tag Manager (GTM) implementation and identify areas of opportunity within Client data to recommend strategic solutions ●    Develop apps (visualization, routing data, cleaning data, access to data, interacting with data) for analytics platforms ●    Develop various Big Data capabilities in the cloud for our Clients, aligning them with business strategies and requirements ●    Architect solutions for massive scale, resiliency and maintainability, leveraging various cloud providers which meet technical, security, and business needs for applications and workloads ●    Execute strategic engineering proof of concepts and contribute to technology strategy and engineering roadmaps ●    Translate solutions and complicated concepts to all audiences, from executive level members to marketing teams ●    Other duties as assigned"
Senior Data Scientist,SHOPEE SINGAPORE PRIVATE LIMITED,"Permanent, Full Time",Executive,Information Technology,9000.0,17600.0,Monthly,"Responsibilities:   Develop and enhance data infrastructure using frameworks such as Hadoop, SPARK and Flume Design and build new data models and architects that will provide intuitive analytics Design and build reliable data pipelines that will efficiently move data to our Data Warehouse Design and develop new systems and tools that will enable teams to utilise, understand and process data at faster speeds       ","Responsibilities:   Develop and enhance data infrastructure using frameworks such as Hadoop, SPARK and Flume Design and build new data models and architects that will provide intuitive analytics Design and build reliable data pipelines that will efficiently move data to our Data Warehouse Design and develop new systems and tools that will enable teams to utilise, understand and process data at faster speeds       "
